Position_Budget_ID,Fiscal_Year,Position_ID,Position_Title,Department_ID,Department_Name,Cost_Center_ID,Approved_Position,Budgeted_Position,Position_Status,Full_Time_Equivalent_Capacity,Annual_Salary_Budget,Annual_Benefits_Budget,Annual_Employer_Tax_and_Contribution_Budget,Annual_Recruitment_Budget,Annual_Training_Budget,Total_Annual_Position_Cost_Budget,Budget_Start_Date,Budget_End_Date,Budget_Status,Budget_Currency,Data_As_Of_Date
POSITION-BUDGET-0339,2026,POS-331,Medical Officer,DEPARTMENT-008,Medical Care,COST-CENTER-MED,Yes,Yes,Filled,1.0,2012000,402400,160960,0,36216,2611576,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0340,2026,POS-332,Medical Officer,DEPARTMENT-008,Medical Care,COST-CENTER-MED,Yes,Yes,Filled,1.0,2012000,402400,160960,0,36216,2611576,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0341,2026,POS-333,Medical Officer,DEPARTMENT-008,Medical Care,COST-CENTER-MED,Yes,Yes,Filled,1.0,2012000,402400,160960,0,36216,2611576,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0342,2026,POS-334,Medical Officer,DEPARTMENT-008,Medical Care,COST-CENTER-MED,Yes,Yes,Filled,1.0,2012000,402400,160960,0,36216,2611576,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0343,2026,POS-335,Medical Officer,DEPARTMENT-008,Medical Care,COST-CENTER-MED,Yes,Yes,Filled,1.0,2012000,402400,160960,0,36216,2611576,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0344,2026,POS-336,Medical Officer,DEPARTMENT-008,Medical Care,COST-CENTER-MED,Yes,Yes,Filled,1.0,2012000,402400,160960,0,36216,2611576,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0345,2026,POS-337,Junior Medical Officer,DEPARTMENT-008,Medical Care,COST-CENTER-MED,Yes,Yes,Filled,1.0,1118000,223600,89440,0,20124,1451164,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0346,2026,POS-338,Junior Medical Officer,DEPARTMENT-008,Medical Care,COST-CENTER-MED,Yes,Yes,Filled,1.0,1118000,223600,89440,0,20124,1451164,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0347,2026,POS-339,Junior Medical Officer,DEPARTMENT-008,Medical Care,COST-CENTER-MED,Yes,Yes,Filled,1.0,1118000,223600,89440,0,20124,1451164,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0348,2026,POS-340,Junior Medical Officer,DEPARTMENT-008,Medical Care,COST-CENTER-MED,Yes,Yes,Filled,1.0,1118000,223600,89440,0,20124,1451164,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0349,2026,POS-341,Junior Medical Officer,DEPARTMENT-008,Medical Care,COST-CENTER-MED,Yes,Yes,Filled,1.0,1118000,223600,89440,0,20124,1451164,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0350,2026,POS-342,Junior Medical Officer,DEPARTMENT-008,Medical Care,COST-CENTER-MED,Yes,Yes,Filled,1.0,1118000,223600,89440,0,20124,1451164,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0351,2026,POS-343,Junior Medical Officer,DEPARTMENT-008,Medical Care,COST-CENTER-MED,Yes,Yes,Filled,1.0,1118000,223600,89440,0,20124,1451164,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0352,2026,POS-344,Junior Medical Officer,DEPARTMENT-008,Medical Care,COST-CENTER-MED,Yes,Yes,Filled,1.0,1118000,223600,89440,0,20124,1451164,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0353,2026,POS-345,Junior Medical Officer,DEPARTMENT-008,Medical Care,COST-CENTER-MED,Yes,Yes,Filled,1.0,1118000,223600,89440,0,20124,1451164,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0354,2026,POS-346,Junior Medical Officer,DEPARTMENT-008,Medical Care,COST-CENTER-MED,Yes,Yes,Filled,1.0,1118000,223600,89440,0,20124,1451164,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0355,2026,POS-347,Junior Medical Officer,DEPARTMENT-008,Medical Care,COST-CENTER-MED,Yes,Yes,Filled,1.0,1118000,223600,89440,0,20124,1451164,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0356,2026,POS-348,Junior Medical Officer,DEPARTMENT-008,Medical Care,COST-CENTER-MED,Yes,Yes,Filled,1.0,1118000,223600,89440,0,20124,1451164,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0357,2026,POS-349,Junior Medical Officer,DEPARTMENT-008,Medical Care,COST-CENTER-MED,Yes,Yes,Filled,1.0,1118000,223600,89440,0,20124,1451164,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0358,2026,POS-350,Clinical Intern,DEPARTMENT-008,Medical Care,COST-CENTER-MED,Yes,Yes,Filled,1.0,522000,104400,41760,0,15000,683160,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0359,2026,POS-351,Clinical Intern,DEPARTMENT-008,Medical Care,COST-CENTER-MED,Yes,Yes,Filled,1.0,522000,104400,41760,0,15000,683160,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0360,2026,POS-352,Clinical Intern,DEPARTMENT-008,Medical Care,COST-CENTER-MED,Yes,Yes,Filled,0.5,261000,52200,20880,0,15000,349080,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0361,2026,EXEC-TRN-HEAD,Head of Training and Development,DEPARTMENT-009,Training & Development,COST-CENTER-TRN,Yes,Yes,Filled,1.0,8003000,1600600,640240,0,144054,10387894,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0362,2026,POS-353,Training Manager,DEPARTMENT-009,Training & Development,COST-CENTER-TRN,Yes,Yes,Filled,1.0,4309000,861800,344720,0,77562,5593082,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0363,2026,POS-354,Training Manager,DEPARTMENT-009,Training & Development,COST-CENTER-TRN,Yes,Yes,Filled,1.0,4309000,861800,344720,0,77562,5593082,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0364,2026,POS-355,Training Manager,DEPARTMENT-009,Training & Development,COST-CENTER-TRN,Yes,Yes,Filled,1.0,4309000,861800,344720,0,77562,5593082,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0365,2026,POS-356,Training Manager,DEPARTMENT-009,Training & Development,COST-CENTER-TRN,Yes,Yes,Filled,1.0,4309000,861800,344720,0,77562,5593082,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0366,2026,POS-357,Training Manager,DEPARTMENT-009,Training & Development,COST-CENTER-TRN,Yes,Yes,Filled,1.0,4309000,861800,344720,0,77562,5593082,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0367,2026,POS-358,Training Manager,DEPARTMENT-009,Training & Development,COST-CENTER-TRN,Yes,Yes,Filled,1.0,4309000,861800,344720,0,77562,5593082,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0368,2026,POS-359,Senior Trainer,DEPARTMENT-009,Training & Development,COST-CENTER-TRN,Yes,Yes,Filled,1.0,2709000,541800,216720,0,48761,3516281,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0369,2026,POS-360,Senior Trainer,DEPARTMENT-009,Training & Development,COST-CENTER-TRN,Yes,Yes,Filled,1.0,2709000,541800,216720,0,48761,3516281,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0370,2026,POS-361,Senior Trainer,DEPARTMENT-009,Training & Development,COST-CENTER-TRN,Yes,Yes,Filled,1.0,2709000,541800,216720,0,48761,3516281,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0371,2026,POS-362,Senior Trainer,DEPARTMENT-009,Training & Development,COST-CENTER-TRN,Yes,Yes,Filled,1.0,2709000,541800,216720,0,48761,3516281,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0372,2026,POS-363,Senior Trainer,DEPARTMENT-009,Training & Development,COST-CENTER-TRN,Yes,Yes,Filled,1.0,2709000,541800,216720,0,48761,3516281,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0373,2026,POS-364,Senior Trainer,DEPARTMENT-009,Training & Development,COST-CENTER-TRN,Yes,Yes,Filled,1.0,2709000,541800,216720,0,48761,3516281,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0374,2026,POS-365,Senior Trainer,DEPARTMENT-009,Training & Development,COST-CENTER-TRN,Yes,Yes,Filled,1.0,2709000,541800,216720,0,48761,3516281,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0375,2026,POS-366,Senior Trainer,DEPARTMENT-009,Training & Development,COST-CENTER-TRN,Yes,Yes,Filled,1.0,2709000,541800,216720,0,48761,3516281,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0376,2026,POS-367,Learning and Development Specialist,DEPARTMENT-009,Training & Development,COST-CENTER-TRN,Yes,Yes,Filled,1.0,1662000,332400,132960,0,29915,2157275,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0377,2026,POS-368,Learning and Development Specialist,DEPARTMENT-009,Training & Development,COST-CENTER-TRN,Yes,Yes,Filled,1.0,1662000,332400,132960,0,29915,2157275,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0378,2026,POS-369,Learning and Development Specialist,DEPARTMENT-009,Training & Development,COST-CENTER-TRN,Yes,Yes,Filled,1.0,1662000,332400,132960,0,29915,2157275,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0379,2026,POS-370,Learning and Development Specialist,DEPARTMENT-009,Training & Development,COST-CENTER-TRN,Yes,Yes,Filled,1.0,1662000,332400,132960,0,29915,2157275,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0380,2026,POS-371,Learning and Development Specialist,DEPARTMENT-009,Training & Development,COST-CENTER-TRN,Yes,Yes,Filled,1.0,1662000,332400,132960,0,29915,2157275,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0381,2026,POS-372,Learning and Development Specialist,DEPARTMENT-009,Training & Development,COST-CENTER-TRN,Yes,Yes,Filled,1.0,1662000,332400,132960,0,29915,2157275,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0382,2026,POS-373,Learning and Development Specialist,DEPARTMENT-009,Training & Development,COST-CENTER-TRN,Yes,Yes,Filled,1.0,1662000,332400,132960,0,29915,2157275,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0383,2026,POS-374,Learning and Development Specialist,DEPARTMENT-009,Training & Development,COST-CENTER-TRN,Yes,Yes,Filled,1.0,1662000,332400,132960,0,29915,2157275,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0384,2026,POS-375,Learning and Development Specialist,DEPARTMENT-009,Training & Development,COST-CENTER-TRN,Yes,Yes,Filled,1.0,1662000,332400,132960,0,29915,2157275,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0385,2026,POS-376,Learning and Development Specialist,DEPARTMENT-009,Training & Development,COST-CENTER-TRN,Yes,Yes,Filled,1.0,1662000,332400,132960,0,29915,2157275,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0386,2026,POS-377,Learning and Development Specialist,DEPARTMENT-009,Training & Development,COST-CENTER-TRN,Yes,Yes,Filled,1.0,1662000,332400,132960,0,29915,2157275,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0387,2026,POS-378,Learning and Development Specialist,DEPARTMENT-009,Training & Development,COST-CENTER-TRN,Yes,Yes,Filled,1.0,1662000,332400,132960,0,29915,2157275,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0388,2026,POS-379,Learning and Development Specialist,DEPARTMENT-009,Training & Development,COST-CENTER-TRN,Yes,Yes,Filled,1.0,1662000,332400,132960,0,29915,2157275,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0389,2026,POS-380,Learning and Development Specialist,DEPARTMENT-009,Training & Development,COST-CENTER-TRN,Yes,Yes,Filled,1.0,1662000,332400,132960,0,29915,2157275,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0390,2026,POS-381,Training Coordinator,DEPARTMENT-009,Training & Development,COST-CENTER-TRN,Yes,Yes,Filled,1.0,923000,184600,73840,0,16614,1198054,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0391,2026,POS-382,Training Coordinator,DEPARTMENT-009,Training & Development,COST-CENTER-TRN,Yes,Yes,Filled,1.0,923000,184600,73840,0,16614,1198054,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0392,2026,POS-383,Training Coordinator,DEPARTMENT-009,Training & Development,COST-CENTER-TRN,Yes,Yes,Filled,1.0,923000,184600,73840,0,16614,1198054,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0393,2026,POS-384,Training Coordinator,DEPARTMENT-009,Training & Development,COST-CENTER-TRN,Yes,Yes,Filled,1.0,923000,184600,73840,0,16614,1198054,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0394,2026,POS-385,Training Coordinator,DEPARTMENT-009,Training & Development,COST-CENTER-TRN,Yes,Yes,Filled,1.0,923000,184600,73840,0,16614,1198054,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0395,2026,POS-386,Training Coordinator,DEPARTMENT-009,Training & Development,COST-CENTER-TRN,Yes,Yes,Filled,1.0,923000,184600,73840,0,16614,1198054,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0396,2026,POS-387,Training Coordinator,DEPARTMENT-009,Training & Development,COST-CENTER-TRN,Yes,Yes,Filled,1.0,923000,184600,73840,0,16614,1198054,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0397,2026,POS-388,Training Coordinator,DEPARTMENT-009,Training & Development,COST-CENTER-TRN,Yes,Yes,Filled,1.0,923000,184600,73840,0,16614,1198054,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0398,2026,POS-389,Training Coordinator,DEPARTMENT-009,Training & Development,COST-CENTER-TRN,Yes,Yes,Filled,1.0,923000,184600,73840,0,16614,1198054,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0399,2026,POS-390,Training Coordinator,DEPARTMENT-009,Training & Development,COST-CENTER-TRN,Yes,Yes,Filled,1.0,923000,184600,73840,0,16614,1198054,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0400,2026,POS-391,Training Coordinator,DEPARTMENT-009,Training & Development,COST-CENTER-TRN,Yes,Yes,Filled,1.0,923000,184600,73840,0,16614,1198054,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0401,2026,POS-392,Training Coordinator,DEPARTMENT-009,Training & Development,COST-CENTER-TRN,Yes,Yes,Filled,1.0,923000,184600,73840,0,16614,1198054,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0402,2026,POS-393,Training Coordinator,DEPARTMENT-009,Training & Development,COST-CENTER-TRN,Yes,Yes,Filled,1.0,923000,184600,73840,0,16614,1198054,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0403,2026,POS-394,Training Intern,DEPARTMENT-009,Training & Development,COST-CENTER-TRN,Yes,Yes,Filled,0.5,215000,43000,17200,0,15000,290200,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0404,2026,POS-395,Training Intern,DEPARTMENT-009,Training & Development,COST-CENTER-TRN,Yes,Yes,Filled,1.0,431000,86200,34480,0,15000,566680,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0405,2026,POS-396,Training Intern,DEPARTMENT-009,Training & Development,COST-CENTER-TRN,Yes,Yes,Filled,0.5,215000,43000,17200,0,15000,290200,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0406,2026,EXEC-ADM-HEAD,Head of Administration and Facilities,DEPARTMENT-010,Administration & Facilities,COST-CENTER-ADM,Yes,Yes,Filled,1.0,6908000,1381600,552640,0,124343,8966583,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0407,2026,POS-397,Administration Manager,DEPARTMENT-010,Administration & Facilities,COST-CENTER-ADM,Yes,Yes,Filled,1.0,3720000,744000,297600,0,66960,4828560,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0408,2026,POS-398,Administration Manager,DEPARTMENT-010,Administration & Facilities,COST-CENTER-ADM,Yes,Yes,Filled,1.0,3720000,744000,297600,0,66960,4828560,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0409,2026,POS-399,Administration Manager,DEPARTMENT-010,Administration & Facilities,COST-CENTER-ADM,Yes,Yes,Filled,1.0,3720000,744000,297600,0,66960,4828560,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0410,2026,POS-400,Administration Manager,DEPARTMENT-010,Administration & Facilities,COST-CENTER-ADM,Yes,Yes,Filled,1.0,3720000,744000,297600,0,66960,4828560,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0411,2026,POS-401,Administration Manager,DEPARTMENT-010,Administration & Facilities,COST-CENTER-ADM,Yes,Yes,Filled,1.0,3720000,744000,297600,0,66960,4828560,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0412,2026,POS-402,Administration Manager,DEPARTMENT-010,Administration & Facilities,COST-CENTER-ADM,Yes,Yes,Filled,1.0,3720000,744000,297600,0,66960,4828560,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0413,2026,POS-403,Senior Administration Officer,DEPARTMENT-010,Administration & Facilities,COST-CENTER-ADM,Yes,Yes,Filled,1.0,2338000,467600,187040,0,42084,3034724,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0414,2026,POS-404,Senior Administration Officer,DEPARTMENT-010,Administration & Facilities,COST-CENTER-ADM,Yes,Yes,Filled,1.0,2338000,467600,187040,0,42084,3034724,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0415,2026,POS-405,Senior Administration Officer,DEPARTMENT-010,Administration & Facilities,COST-CENTER-ADM,Yes,Yes,Filled,1.0,2338000,467600,187040,0,42084,3034724,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0416,2026,POS-406,Senior Administration Officer,DEPARTMENT-010,Administration & Facilities,COST-CENTER-ADM,Yes,Yes,Filled,1.0,2338000,467600,187040,0,42084,3034724,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0417,2026,POS-407,Senior Administration Officer,DEPARTMENT-010,Administration & Facilities,COST-CENTER-ADM,Yes,Yes,Filled,1.0,2338000,467600,187040,0,42084,3034724,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0418,2026,POS-408,Senior Administration Officer,DEPARTMENT-010,Administration & Facilities,COST-CENTER-ADM,Yes,Yes,Filled,1.0,2338000,467600,187040,0,42084,3034724,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0419,2026,POS-409,Senior Administration Officer,DEPARTMENT-010,Administration & Facilities,COST-CENTER-ADM,Yes,Yes,Filled,1.0,2338000,467600,187040,0,42084,3034724,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0420,2026,POS-410,Senior Administration Officer,DEPARTMENT-010,Administration & Facilities,COST-CENTER-ADM,Yes,Yes,Filled,1.0,2338000,467600,187040,0,42084,3034724,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0421,2026,POS-411,Administration Officer,DEPARTMENT-010,Administration & Facilities,COST-CENTER-ADM,Yes,Yes,Filled,1.0,1435000,287000,114800,0,25829,1862629,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0422,2026,POS-412,Administration Officer,DEPARTMENT-010,Administration & Facilities,COST-CENTER-ADM,Yes,Yes,Filled,1.0,1435000,287000,114800,0,25829,1862629,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0423,2026,POS-413,Administration Officer,DEPARTMENT-010,Administration & Facilities,COST-CENTER-ADM,Yes,Yes,Filled,1.0,1435000,287000,114800,0,25829,1862629,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0424,2026,POS-414,Administration Officer,DEPARTMENT-010,Administration & Facilities,COST-CENTER-ADM,Yes,Yes,Filled,1.0,1435000,287000,114800,0,25829,1862629,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0425,2026,POS-415,Administration Officer,DEPARTMENT-010,Administration & Facilities,COST-CENTER-ADM,Yes,Yes,Filled,1.0,1435000,287000,114800,0,25829,1862629,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0426,2026,POS-416,Administration Officer,DEPARTMENT-010,Administration & Facilities,COST-CENTER-ADM,Yes,Yes,Filled,1.0,1435000,287000,114800,0,25829,1862629,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0427,2026,POS-417,Administration Officer,DEPARTMENT-010,Administration & Facilities,COST-CENTER-ADM,Yes,Yes,Filled,1.0,1435000,287000,114800,0,25829,1862629,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0428,2026,POS-418,Administration Officer,DEPARTMENT-010,Administration & Facilities,COST-CENTER-ADM,Yes,Yes,Filled,1.0,1435000,287000,114800,0,25829,1862629,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0429,2026,POS-419,Administration Officer,DEPARTMENT-010,Administration & Facilities,COST-CENTER-ADM,Yes,Yes,Filled,1.0,1435000,287000,114800,0,25829,1862629,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0430,2026,POS-420,Administration Officer,DEPARTMENT-010,Administration & Facilities,COST-CENTER-ADM,Yes,Yes,Filled,1.0,1435000,287000,114800,0,25829,1862629,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0431,2026,POS-421,Administration Officer,DEPARTMENT-010,Administration & Facilities,COST-CENTER-ADM,Yes,Yes,Filled,1.0,1435000,287000,114800,0,25829,1862629,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0432,2026,POS-422,Administration Officer,DEPARTMENT-010,Administration & Facilities,COST-CENTER-ADM,Yes,Yes,Filled,1.0,1435000,287000,114800,0,25829,1862629,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0433,2026,POS-423,Administration Officer,DEPARTMENT-010,Administration & Facilities,COST-CENTER-ADM,Yes,Yes,Filled,1.0,1435000,287000,114800,0,25829,1862629,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0434,2026,POS-424,Administration Officer,DEPARTMENT-010,Administration & Facilities,COST-CENTER-ADM,Yes,Yes,Filled,1.0,1435000,287000,114800,0,25829,1862629,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0435,2026,POS-425,Administrative Assistant,DEPARTMENT-010,Administration & Facilities,COST-CENTER-ADM,Yes,Yes,Filled,1.0,797000,159400,63760,0,15000,1035160,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0436,2026,POS-426,Administrative Assistant,DEPARTMENT-010,Administration & Facilities,COST-CENTER-ADM,Yes,Yes,Filled,1.0,797000,159400,63760,0,15000,1035160,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0437,2026,POS-427,Administrative Assistant,DEPARTMENT-010,Administration & Facilities,COST-CENTER-ADM,Yes,Yes,Filled,1.0,797000,159400,63760,0,15000,1035160,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0438,2026,POS-428,Administrative Assistant,DEPARTMENT-010,Administration & Facilities,COST-CENTER-ADM,Yes,Yes,Filled,1.0,797000,159400,63760,0,15000,1035160,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0439,2026,POS-429,Administrative Assistant,DEPARTMENT-010,Administration & Facilities,COST-CENTER-ADM,Yes,Yes,Filled,1.0,797000,159400,63760,0,15000,1035160,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0440,2026,POS-430,Administrative Assistant,DEPARTMENT-010,Administration & Facilities,COST-CENTER-ADM,Yes,Yes,Filled,1.0,797000,159400,63760,0,15000,1035160,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0441,2026,POS-431,Administrative Assistant,DEPARTMENT-010,Administration & Facilities,COST-CENTER-ADM,Yes,Yes,Filled,1.0,797000,159400,63760,0,15000,1035160,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0442,2026,POS-432,Administrative Assistant,DEPARTMENT-010,Administration & Facilities,COST-CENTER-ADM,Yes,Yes,Filled,1.0,797000,159400,63760,0,15000,1035160,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0443,2026,POS-433,Administrative Assistant,DEPARTMENT-010,Administration & Facilities,COST-CENTER-ADM,Yes,Yes,Filled,1.0,797000,159400,63760,0,15000,1035160,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0444,2026,POS-434,Administrative Assistant,DEPARTMENT-010,Administration & Facilities,COST-CENTER-ADM,Yes,Yes,Filled,1.0,797000,159400,63760,0,15000,1035160,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0445,2026,POS-435,Administrative Assistant,DEPARTMENT-010,Administration & Facilities,COST-CENTER-ADM,Yes,Yes,Filled,1.0,797000,159400,63760,0,15000,1035160,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0446,2026,POS-436,Administrative Assistant,DEPARTMENT-010,Administration & Facilities,COST-CENTER-ADM,Yes,Yes,Filled,1.0,797000,159400,63760,0,15000,1035160,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0447,2026,POS-437,Administrative Assistant,DEPARTMENT-010,Administration & Facilities,COST-CENTER-ADM,Yes,Yes,Filled,1.0,797000,159400,63760,0,15000,1035160,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0448,2026,POS-438,Administration Intern,DEPARTMENT-010,Administration & Facilities,COST-CENTER-ADM,Yes,Yes,Filled,0.5,186000,37200,14880,0,15000,253080,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
